SppCode1,SppCode2,SIF,Direction,sd,2.50%,97.50%,Rhat,psiA,sd,2.50%,97.50%,Rhat,psiBA,sd,2.50%,97.50%,Rhat,psiBa,sd,2.50%,97.50%,Rhat,psiB,sd,2.50%,97.50%,Rhat,pA,sd,2.50%,97.50%,Rhat,pB,sd,2.50%,97.50%,Rhat
BDCR,LEMI,0.74,None,0.42,0.11,1.7,1,0.19,0.06,0.1,0.31,1,0.24,0.15,0.03,0.6,1,0.35,0.09,0.19,0.55,1,0.33,0.08,0.19,0.5,1,0.03,0.01,0.02,0.04,1,0.02,0,0.01,0.02,1
BDCR,LOAF,0.9,None,0.11,0.64,1.06,1,0.19,0.06,0.1,0.31,1,0.83,0.11,0.56,0.99,1,0.94,0.04,0.86,0.99,1,0.92,0.04,0.84,0.98,1,0.03,0.01,0.02,0.04,1,0.06,0,0.05,0.06,1
BDCR,MECA,0.93,None,0.34,0.33,1.63,1,0.19,0.06,0.1,0.31,1,0.45,0.17,0.15,0.81,1,0.5,0.1,0.31,0.72,1,0.49,0.09,0.32,0.68,1,0.03,0.01,0.02,0.04,1,0.01,0,0.01,0.02,1
BDCR,MUMU,1.24,None,0.54,0.35,2.41,1,0.19,0.06,0.1,0.31,1,0.41,0.2,0.1,0.85,1,0.32,0.11,0.15,0.58,1,0.34,0.1,0.18,0.58,1,0.03,0.01,0.02,0.04,1,0.01,0,0.01,0.02,1
BDCR,ORAF,0.76,None,0.43,0.12,1.75,1,0.19,0.06,0.1,0.31,1,0.23,0.14,0.03,0.56,1,0.32,0.08,0.18,0.49,1,0.3,0.07,0.18,0.45,1,0.03,0.01,0.02,0.04,1,0.02,0,0.01,0.03,1
BDCR,PACY,0.95,None,0.07,0.77,1.03,1,0.19,0.06,0.09,0.31,1,0.92,0.08,0.72,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.03,0.01,0.02,0.04,1,0.31,0.01,0.29,0.32,1
BDCR,PALE,1.67,None,0.93,0.29,3.82,1,0.19,0.06,0.1,0.31,1,0.4,0.24,0.05,0.93,1,0.23,0.18,0.04,0.75,1,0.26,0.16,0.07,0.72,1,0.03,0.01,0.02,0.04,1,0.01,0,0,0.02,1
BDCR,POLA,0.96,None,0.16,0.61,1.24,1,0.19,0.06,0.1,0.32,1,0.77,0.14,0.46,0.98,1,0.8,0.06,0.67,0.91,1,0.8,0.06,0.68,0.89,1,0.03,0.01,0.02,0.04,1,0.05,0,0.05,0.06,1
BDCR,SYCA,0.98,None,0.28,0.44,1.53,1,0.19,0.06,0.1,0.31,1,0.59,0.18,0.25,0.92,1,0.61,0.1,0.41,0.82,1,0.6,0.09,0.43,0.79,1,0.03,0.01,0.02,0.04,1,0.01,0,0.01,0.02,1
BDCR,SYGR,1.3,None,0.73,0.22,3.05,1,0.19,0.06,0.1,0.31,1,0.47,0.26,0.06,0.96,1,0.39,0.23,0.08,0.92,1,0.4,0.2,0.11,0.86,1,0.03,0.01,0.02,0.04,1,0,0,0,0.01,1
BDCR,TAOR,1.05,None,0.85,0.04,3.14,1,0.19,0.06,0.1,0.31,1,0.27,0.24,0.01,0.89,1,0.29,0.23,0.04,0.89,1,0.29,0.2,0.05,0.81,1,0.03,0.01,0.02,0.04,1,0.01,0.01,0,0.02,1
BDCR,TRST,0.97,None,0.21,0.55,1.36,1,0.19,0.06,0.1,0.31,1,0.63,0.14,0.34,0.88,1,0.66,0.08,0.51,0.8,1,0.66,0.07,0.52,0.78,1,0.03,0.01,0.02,0.04,1,0.03,0,0.03,0.04,1
BDCR,TRSY,0.95,None,0.07,0.77,1.03,1,0.19,0.05,0.09,0.31,1,0.92,0.07,0.72,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.03,0.01,0.02,0.04,1,0.26,0.01,0.25,0.27,1
CEAL,AEME,1.15,None,0.21,0.66,1.49,1,0.1,0.05,0.03,0.22,1,0.83,0.14,0.46,0.99,1,0.71,0.06,0.58,0.82,1,0.72,0.06,0.6,0.82,1,0.02,0.01,0.01,0.04,1,0.17,0.01,0.16,0.18,1
CEAL,ALBU,1.38,None,0.7,0.24,2.88,1,0.1,0.05,0.03,0.22,1,0.41,0.21,0.07,0.84,1,0.29,0.07,0.17,0.43,1,0.3,0.06,0.19,0.44,1,0.02,0.01,0.01,0.04,1,0.03,0,0.02,0.04,1
CEAL,ATPA,1.06,None,0.52,0.19,2.15,1,0.1,0.05,0.03,0.22,1,0.43,0.22,0.07,0.87,1,0.41,0.08,0.27,0.56,1,0.41,0.07,0.28,0.56,1,0.02,0.01,0.01,0.04,1,0.02,0,0.02,0.03,1
CEAL,BDCR,1.06,None,0.86,0.04,3.15,1,0.1,0.05,0.03,0.22,1,0.21,0.17,0.01,0.64,1,0.2,0.06,0.1,0.33,1,0.2,0.06,0.11,0.32,1,0.02,0.01,0.01,0.04,1,0.03,0.01,0.02,0.04,1
CEAL,CENA,1.02,None,0.85,0.03,3.1,1,0.1,0.05,0.03,0.22,1,0.18,0.15,0.01,0.55,1,0.17,0.05,0.09,0.29,1,0.17,0.05,0.09,0.28,1,0.02,0.01,0.01,0.04,1,0.11,0.01,0.09,0.13,1
CEAL,CICI,1.02,None,0.23,0.49,1.37,1,0.1,0.05,0.03,0.22,1,0.78,0.17,0.36,0.99,1,0.77,0.06,0.64,0.88,1,0.77,0.06,0.65,0.87,1,0.02,0.01,0.01,0.04,1,0.05,0,0.04,0.05,1
CEAL,GASA,2.39,None,0.92,0.81,4.43,1,0.1,0.05,0.03,0.22,1,0.65,0.21,0.21,0.98,1,0.24,0.08,0.11,0.43,1,0.29,0.08,0.16,0.46,1,0.02,0.01,0.01,0.04,1,0.01,0,0.01,0.02,1
CEAL,GEGE,1.05,None,0.17,0.63,1.33,1,0.1,0.05,0.03,0.22,1,0.84,0.14,0.49,1,1,0.79,0.05,0.68,0.89,1,0.8,0.05,0.69,0.88,1,0.02,0.01,0.01,0.04,1,0.13,0,0.12,0.14,1
CEAL,HEIC,0.84,None,0.66,0.03,2.47,1,0.1,0.05,0.03,0.22,1,0.39,0.27,0.01,0.95,1,0.53,0.22,0.17,0.96,1,0.51,0.21,0.18,0.92,1,0.02,0.01,0.01,0.04,1,0,0,0,0.01,1
CEAL,HIAM,1.55,None,1.5,0.06,5.52,1,0.1,0.05,0.03,0.22,1,0.44,0.29,0.02,0.96,1,0.4,0.27,0.04,0.95,1,0.4,0.25,0.06,0.91,1,0.02,0.01,0.01,0.04,1,0,0,0,0.01,1
CEAL,HINI,0.55,None,0.44,0.02,1.63,1,0.1,0.05,0.03,0.22,1,0.2,0.16,0.01,0.61,1,0.38,0.07,0.25,0.53,1,0.36,0.06,0.24,0.5,1,0.02,0.01,0.01,0.04,1,0.03,0,0.03,0.04,1
CEAL,HYAF,1.07,None,0.37,0.34,1.74,1,0.1,0.05,0.03,0.22,1,0.6,0.21,0.19,0.95,1,0.56,0.07,0.42,0.7,1,0.57,0.07,0.44,0.69,1,0.02,0.01,0.01,0.04,1,0.04,0,0.04,0.05,1
CEAL,ICAL,0.99,None,0.47,0.2,2.02,1,0.1,0.05,0.03,0.22,1,0.6,0.25,0.12,0.98,1,0.64,0.18,0.32,0.97,1,0.64,0.16,0.34,0.94,1,0.02,0.01,0.01,0.04,1,0.01,0,0,0.01,1
CEAL,LEMI,0.74,None,0.59,0.02,2.16,1,0.1,0.05,0.03,0.22,1,0.24,0.2,0.01,0.72,1,0.34,0.09,0.19,0.53,1,0.33,0.08,0.19,0.5,1,0.02,0.01,0.01,0.04,1,0.02,0,0.01,0.02,1
CEAL,LOAF,0.86,None,0.17,0.43,1.09,1,0.1,0.05,0.03,0.21,1,0.79,0.17,0.38,0.99,1,0.94,0.04,0.85,0.99,1,0.92,0.04,0.84,0.98,1,0.02,0.01,0.01,0.04,1,0.06,0,0.05,0.06,1
CEAL,MATE,1.71,None,1.65,0.06,6.13,1,0.1,0.05,0.03,0.22,1,0.43,0.28,0.02,0.96,1,0.36,0.27,0.03,0.94,1,0.37,0.25,0.05,0.9,1,0.02,0.01,0.01,0.04,1,0,0,0,0.01,1
CEAL,MECA,1.01,None,0.49,0.18,2.02,1,0.1,0.05,0.03,0.22,1,0.48,0.23,0.08,0.93,1,0.48,0.1,0.31,0.69,1,0.48,0.09,0.32,0.67,1,0.02,0.01,0.01,0.04,1,0.02,0,0.01,0.02,1
CEAL,MUMU,1.62,None,0.81,0.3,3.39,1,0.1,0.05,0.03,0.22,1,0.51,0.24,0.09,0.96,1,0.31,0.1,0.15,0.55,1,0.33,0.1,0.17,0.56,1,0.02,0.01,0.01,0.04,1,0.01,0,0.01,0.02,1
CEAL,ORAF,1.56,None,0.77,0.29,3.23,1,0.1,0.05,0.03,0.22,1,0.46,0.22,0.08,0.9,1,0.28,0.07,0.15,0.44,1,0.3,0.07,0.18,0.45,1,0.02,0.01,0.01,0.04,1,0.02,0,0.01,0.03,1
CEAL,OTCR,1.19,None,0.96,0.04,3.5,1,0.1,0.05,0.03,0.22,1,0.27,0.22,0.01,0.82,1,0.24,0.1,0.09,0.49,1,0.24,0.1,0.1,0.48,1,0.02,0.01,0.01,0.04,1,0.01,0,0,0.02,1
CEAL,OUOU,0.95,None,0.21,0.46,1.26,1,0.1,0.05,0.03,0.22,1,0.78,0.17,0.37,0.99,1,0.82,0.05,0.71,0.91,1,0.82,0.05,0.71,0.9,1,0.02,0.01,0.01,0.04,1,0.12,0,0.11,0.13,1
CEAL,PACY,0.88,None,0.13,0.55,1.02,1,0.1,0.04,0.03,0.2,1,0.85,0.13,0.52,1,1,0.98,0.02,0.94,1,1,0.97,0.02,0.92,1,1,0.02,0.01,0.01,0.04,1,0.31,0.01,0.29,0.32,1
CEAL,PALE,3.25,None,1.89,0.59,7.77,1,0.1,0.05,0.03,0.21,1,0.56,0.25,0.1,0.97,1,0.17,0.13,0.03,0.52,1,0.21,0.12,0.06,0.53,1,0.02,0.01,0.01,0.04,1,0.01,0,0,0.02,1
CEAL,POLA,0.97,None,0.22,0.46,1.31,1,0.1,0.05,0.03,0.22,1,0.77,0.18,0.35,0.99,1,0.8,0.06,0.67,0.91,1,0.79,0.06,0.68,0.89,1,0.02,0.01,0.01,0.04,1,0.05,0,0.05,0.06,1
CEAL,RERE,0.88,None,0.3,0.29,1.42,1,0.1,0.05,0.03,0.22,1,0.58,0.2,0.18,0.93,1,0.67,0.07,0.54,0.8,1,0.66,0.06,0.54,0.78,1,0.02,0.01,0.01,0.04,1,0.05,0,0.04,0.06,1
CEAL,SYCA,0.41,None,0.32,0.01,1.18,1,0.1,0.05,0.03,0.21,1,0.25,0.2,0.01,0.74,1,0.65,0.1,0.46,0.85,1,0.61,0.09,0.44,0.8,1,0.02,0.01,0.01,0.04,1,0.01,0,0.01,0.02,1
