,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
52439,H11,Baboon,10/23/16 05:51,10/23/16,5:51:42,675,11,0.2,0,Merged_no_ghost/H11/Baboon,EK002480.JPG
50782,H11,Baboon,9/27/16 05:51,9/27/16,5:51:43,1,0,0,0,Merged_no_ghost/H11/Baboon,EK000176.JPG
7890,C06,Baboon,10/22/16 05:51,10/22/16,5:51:47,39,1,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 51 47.JPG
7891,C06,Baboon,10/22/16 05:51,10/22/16,5:51:48,1,0,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 51 48.JPG
52263,H11,Baboon,10/18/16 05:51,10/18/16,5:51:59,39,1,0,0,Merged_no_ghost/H11/Baboon,EK002055.JPG
41221,G06,Baboon,9/19/16 05:52,9/19/16,5:52:05,206,3,0,0,Merged_no_ghost/G06/Baboon,2016 09 19 05 52 05.JPG
41222,G06,Baboon,9/19/16 05:52,9/19/16,5:52:06,1,0,0,0,Merged_no_ghost/G06/Baboon,2016 09 19 05 52 06.JPG
66475,J11,Baboon,8/30/16 05:52,8/30/16,5:52:08,55,1,0,0,Merged_no_ghost/J11/Baboon,2016 08 30 05 52 08.JPG
66476,J11,Baboon,8/30/16 05:52,8/30/16,5:52:08,55,1,0,0,Merged_no_ghost/J11/Baboon,2016 08 30 05 52 09.JPG
70480,K06,Baboon,2/10/16 5:52,2/10/16,5:52:08,80,1,0,0,Merged_no_ghost/K06/Baboon,2016 10 02 05 39 08.JPG
16233,D05,Baboon,5/10/16 5:52,5/10/16,5:52:09,54,1,0,0,Merged_no_ghost/D05/Baboon,2016 10 05 05 52 09.JPG
70481,K06,Baboon,2/10/16 5:52,2/10/16,5:52:09,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 10 02 05 39 09.JPG
16234,D05,Baboon,5/10/16 5:52,5/10/16,5:52:10,1,0,0,0,Merged_no_ghost/D05/Baboon,2016 10 05 05 52 10.JPG
36261,F11,Baboon,8/31/16 05:52,8/31/16,5:52:11,331,6,0.1,0,Merged_no_ghost/F11/Baboon,2016 08 31 05 52 11.JPG
36262,F11,Baboon,8/31/16 05:52,8/31/16,5:52:12,1,0,0,0,Merged_no_ghost/F11/Baboon,2016 08 31 05 52 12.JPG
51570,H11,Baboon,11/10/16 5:52,11/10/16,5:52:15,172,3,0,0,Merged_no_ghost/H11/Baboon,EK001135.JPG
51571,H11,Baboon,11/10/16 5:52,11/10/16,5:52:15,172,3,0,0,Merged_no_ghost/H11/Baboon,EK001136.JPG
50783,H11,Baboon,9/27/16 05:52,9/27/16,5:52:16,33,1,0,0,Merged_no_ghost/H11/Baboon,EK000177.JPG
50784,H11,Baboon,9/27/16 05:52,9/27/16,5:52:17,1,0,0,0,Merged_no_ghost/H11/Baboon,EK000178.JPG
34917,F07,Baboon,12/10/16 5:52,12/10/16,5:52:19,67,1,0,0,Merged_no_ghost/F07/Baboon,2016 10 12 05 52 19.JPG
34918,F07,Baboon,12/10/16 5:52,12/10/16,5:52:19,67,1,0,0,Merged_no_ghost/F07/Baboon,2016 10 12 05 52 20.JPG
70067,K06,Baboon,11/9/16 5:52,11/9/16,5:52:20,77472,1291,21.5,0.9,Merged_no_ghost/K06/Baboon,2016 09 11 05 39 20.JPG
52440,H11,Baboon,10/23/16 05:52,10/23/16,5:52:21,39,1,0,0,Merged_no_ghost/H11/Baboon,EK002481.JPG
70068,K06,Baboon,11/9/16 5:52,11/9/16,5:52:21,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 09 11 05 39 21.JPG
52441,H11,Baboon,10/23/16 05:52,10/23/16,5:52:22,1,0,0,0,Merged_no_ghost/H11/Baboon,EK002482.JPG
7892,C06,Baboon,10/22/16 05:52,10/22/16,5:52:24,36,1,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 52 24.JPG
7893,C06,Baboon,10/22/16 05:52,10/22/16,5:52:24,36,1,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 52 25.JPG
39939,G04,Baboon,10/27/16 05:52,10/27/16,5:52:24,171323,2855,47.6,2,Merged_no_ghost/G04/Baboon,2016 10 27 05 52 24.JPG
39940,G04,Baboon,10/27/16 05:52,10/27/16,5:52:25,1,0,0,0,Merged_no_ghost/G04/Baboon,2016 10 27 05 52 25.JPG
61251,J03,Baboon,2/9/16 5:52,2/9/16,5:52:47,430249,7171,119.5,5,Merged_no_ghost/J03/Baboon,2016 09 02 05 52 47.JPG
61252,J03,Baboon,2/9/16 5:52,2/9/16,5:52:48,1,0,0,0,Merged_no_ghost/J03/Baboon,2016 09 02 05 52 48.JPG
16235,D05,Baboon,5/10/16 5:52,5/10/16,5:52:52,42,1,0,0,Merged_no_ghost/D05/Baboon,2016 10 05 05 52 52.JPG
16236,D05,Baboon,5/10/16 5:52,5/10/16,5:52:52,42,1,0,0,Merged_no_ghost/D05/Baboon,2016 10 05 05 52 53.JPG
7894,C06,Baboon,10/22/16 05:52,10/22/16,5:52:56,32,1,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 52 56.JPG
7895,C06,Baboon,10/22/16 05:52,10/22/16,5:52:57,1,0,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 52 57.JPG
52442,H11,Baboon,10/23/16 05:52,10/23/16,5:52:58,36,1,0,0,Merged_no_ghost/H11/Baboon,EK002483.JPG
52443,H11,Baboon,10/23/16 05:52,10/23/16,5:52:58,36,1,0,0,Merged_no_ghost/H11/Baboon,EK002484.JPG
50785,H11,Baboon,9/27/16 05:53,9/27/16,5:53:02,45,1,0,0,Merged_no_ghost/H11/Baboon,EK000179.JPG
50786,H11,Baboon,9/27/16 05:53,9/27/16,5:53:02,45,1,0,0,Merged_no_ghost/H11/Baboon,EK000180.JPG
27058,E10,Baboon,10/31/16 05:53,10/31/16,5:53:05,489,8,0.1,0,Merged_no_ghost/E10/Baboon,2016 10 31 05 53 05.JPG
27059,E10,Baboon,10/31/16 05:53,10/31/16,5:53:06,1,0,0,0,Merged_no_ghost/E10/Baboon,2016 10 31 05 53 06.JPG
70164,K06,Baboon,9/19/16 05:53,9/19/16,5:53:07,562,9,0.2,0,Merged_no_ghost/K06/Baboon,2016 09 19 05 40 07.JPG
66457,J11,Baboon,8/24/16 05:53,8/24/16,5:53:08,44294,738,12.3,0.5,Merged_no_ghost/J11/Baboon,2016 08 24 05 53 08.JPG
66458,J11,Baboon,8/24/16 05:53,8/24/16,5:53:08,44294,738,12.3,0.5,Merged_no_ghost/J11/Baboon,2016 08 24 05 53 09.JPG
70165,K06,Baboon,9/19/16 05:53,9/19/16,5:53:08,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 09 19 05 40 08.JPG
26647,E08,Baboon,10/25/16 05:53,10/25/16,5:53:16,3798549,63309,1055.2,44,Merged_no_ghost/E08/Baboon,2016 10 25 05 53 16.JPG
26648,E08,Baboon,10/25/16 05:53,10/25/16,5:53:17,1,0,0,0,Merged_no_ghost/E08/Baboon,2016 10 25 05 53 17.JPG
50875,H11,Baboon,3/10/16 5:53,3/10/16,5:53:17,360,6,0.1,0,Merged_no_ghost/H11/Baboon,EK000281.JPG
50876,H11,Baboon,3/10/16 5:53,3/10/16,5:53:18,1,0,0,0,Merged_no_ghost/H11/Baboon,EK000282.JPG
16221,D05,Baboon,9/30/16 05:53,9/30/16,5:53:19,260500,4342,72.4,3,Merged_no_ghost/D05/Baboon,2016 09 30 05 53 19.JPG
16222,D05,Baboon,9/30/16 05:53,9/30/16,5:53:19,260500,4342,72.4,3,Merged_no_ghost/D05/Baboon,2016 09 30 05 53 20.JPG
46430,H05,Baboon,9/10/16 5:53,9/10/16,5:53:26,63133,1052,17.5,0.7,Merged_no_ghost/H05/Baboon,2016 10 09 05 53 26.JPG
46431,H05,Baboon,9/10/16 5:53,9/10/16,5:53:26,63133,1052,17.5,0.7,Merged_no_ghost/H05/Baboon,2016 10 09 05 53 27.JPG
37545,G02,Baboon,6/10/16 5:53,6/10/16,5:53:28,49464,824,13.7,0.6,Merged_no_ghost/G02/Baboon,2016 10 06 05 53 28.JPG
37585,G02,Baboon,8/10/16 5:53,8/10/16,5:53:28,44484,741,12.3,0.5,Merged_no_ghost/G02/Baboon,2016 10 08 05 53 28.JPG
37546,G02,Baboon,6/10/16 5:53,6/10/16,5:53:29,1,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 06 05 53 29.JPG
37586,G02,Baboon,8/10/16 5:53,8/10/16,5:53:29,1,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 53 29.JPG
53134,H13,Baboon,9/24/16 05:53,9/24/16,5:53:30,154767,2579,43,1.8,Merged_no_ghost/H13/Baboon,2016 09 24 05 53 30.JPG
53135,H13,Baboon,9/24/16 05:53,9/24/16,5:53:30,154767,2579,43,1.8,Merged_no_ghost/H13/Baboon,2016 09 24 05 53 31.JPG
99469,M10,Baboon,10/24/16 05:53,10/24/16,5:53:33,634,11,0.2,0,Merged_no_ghost/M10/Baboon,2016 10 24 05 53 33.JPG
99470,M10,Baboon,10/24/16 05:53,10/24/16,5:53:34,1,0,0,0,Merged_no_ghost/M10/Baboon,2016 10 24 05 53 34.JPG
50787,H11,Baboon,9/27/16 05:53,9/27/16,5:53:38,36,1,0,0,Merged_no_ghost/H11/Baboon,EK000181.JPG
50788,H11,Baboon,9/27/16 05:53,9/27/16,5:53:39,1,0,0,0,Merged_no_ghost/H11/Baboon,EK000182.JPG
52444,H11,Baboon,10/23/16 05:53,10/23/16,5:53:40,42,1,0,0,Merged_no_ghost/H11/Baboon,EK002485.JPG
52445,H11,Baboon,10/23/16 05:53,10/23/16,5:53:40,42,1,0,0,Merged_no_ghost/H11/Baboon,EK002486.JPG
70158,K06,Baboon,9/18/16 05:53,9/18/16,5:53:40,82325,1372,22.9,1,Merged_no_ghost/K06/Baboon,2016 09 18 05 40 40.JPG
70159,K06,Baboon,9/18/16 05:53,9/18/16,5:53:40,82325,1372,22.9,1,Merged_no_ghost/K06/Baboon,2016 09 18 05 40 41.JPG
70069,K06,Baboon,11/9/16 5:53,11/9/16,5:53:41,80,1,0,0,Merged_no_ghost/K06/Baboon,2016 09 11 05 40 41.JPG
70070,K06,Baboon,11/9/16 5:53,11/9/16,5:53:42,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 09 11 05 40 42.JPG
67671,J13,Baboon,10/17/16 05:53,10/17/16,5:53:44,73660,1228,20.5,0.9,Merged_no_ghost/J13/Baboon,2016 10 17 05 53 44.JPG
67672,J13,Baboon,10/17/16 05:53,10/17/16,5:53:45,1,0,0,0,Merged_no_ghost/J13/Baboon,2016 10 17 05 53 45.JPG
37587,G02,Baboon,8/10/16 5:54,8/10/16,5:54:03,34,1,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 54 03.JPG
70304,K06,Baboon,9/26/16 05:54,9/26/16,5:54:03,1655,28,0.5,0,Merged_no_ghost/K06/Baboon,2016 09 26 05 41 03.JPG
70305,K06,Baboon,9/26/16 05:54,9/26/16,5:54:03,1655,28,0.5,0,Merged_no_ghost/K06/Baboon,2016 09 26 05 41 04.JPG
37588,G02,Baboon,8/10/16 5:54,8/10/16,5:54:04,1,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 54 04.JPG
41347,G06,Baboon,12/10/16 5:54,12/10/16,5:54:07,69865,1164,19.4,0.8,Merged_no_ghost/G06/Baboon,2016 10 12 05 54 07.JPG
41348,G06,Baboon,12/10/16 5:54,12/10/16,5:54:07,69865,1164,19.4,0.8,Merged_no_ghost/G06/Baboon,2016 10 12 05 54 08.JPG
37639,G02,Baboon,10/17/16 05:54,10/17/16,5:54:19,1483,25,0.4,0,Merged_no_ghost/G02/Baboon,2016 10 17 05 54 01.JPG
37640,G02,Baboon,10/17/16 05:54,10/17/16,5:54:19,1483,25,0.4,0,Merged_no_ghost/G02/Baboon,2016 10 17 05 54 19.JPG
36323,F11,Baboon,9/28/16 05:54,9/28/16,5:54:20,49159,819,13.7,0.6,Merged_no_ghost/F11/Baboon,2016 09 28 05 54 20.JPG
36324,F11,Baboon,9/28/16 05:54,9/28/16,5:54:20,49159,819,13.7,0.6,Merged_no_ghost/F11/Baboon,2016 09 28 05 54 21.JPG
70712,K06,Baboon,11/10/16 5:54,11/10/16,5:54:21,64420,1074,17.9,0.7,Merged_no_ghost/K06/Baboon,2016 10 11 05 41 21.JPG
70713,K06,Baboon,11/10/16 5:54,11/10/16,5:54:22,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 10 11 05 41 22.JPG
7896,C06,Baboon,10/22/16 05:54,10/22/16,5:54:25,88,1,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 54 25.JPG
7897,C06,Baboon,10/22/16 05:54,10/22/16,5:54:26,1,0,0,0,Merged_no_ghost/C06/Baboon,2016 10 22 05 54 26.JPG
46484,H05,Baboon,10/14/16 05:54,10/14/16,5:54:32,81439,1357,22.6,0.9,Merged_no_ghost/H05/Baboon,2016 10 14 05 54 32.JPG
46485,H05,Baboon,10/14/16 05:54,10/14/16,5:54:33,1,0,0,0,Merged_no_ghost/H05/Baboon,2016 10 14 05 54 33.JPG
27034,E10,Baboon,9/26/16 05:54,9/26/16,5:54:35,1806637,30111,501.9,20.9,Merged_no_ghost/E10/Baboon,2016 09 26 05 54 35.JPG
27035,E10,Baboon,9/26/16 05:54,9/26/16,5:54:35,1806637,30111,501.9,20.9,Merged_no_ghost/E10/Baboon,2016 09 26 05 54 36.JPG
50789,H11,Baboon,9/27/16 05:54,9/27/16,5:54:37,58,1,0,0,Merged_no_ghost/H11/Baboon,EK000183.JPG
50790,H11,Baboon,9/27/16 05:54,9/27/16,5:54:37,58,1,0,0,Merged_no_ghost/H11/Baboon,EK000184.JPG
46432,H05,Baboon,9/10/16 5:54,9/10/16,5:54:42,76,1,0,0,Merged_no_ghost/H05/Baboon,2016 10 09 05 54 42.JPG
46433,H05,Baboon,9/10/16 5:54,9/10/16,5:54:42,76,1,0,0,Merged_no_ghost/H05/Baboon,2016 10 09 05 54 43.JPG
57353,I08,Baboon,2/11/16 5:54,2/11/16,5:54:42,343462,5724,95.4,4,Merged_no_ghost/I08/Baboon,2016 11 02 05 06 42.JPG
57354,I08,Baboon,2/11/16 5:54,2/11/16,5:54:42,343462,5724,95.4,4,Merged_no_ghost/I08/Baboon,2016 11 02 05 06 43.JPG
70424,K06,Baboon,9/30/16 05:54,9/30/16,5:54:45,2267,38,0.6,0,Merged_no_ghost/K06/Baboon,2016 09 30 05 41 45.JPG
70425,K06,Baboon,9/30/16 05:54,9/30/16,5:54:46,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 09 30 05 41 46.JPG
34837,F07,Baboon,9/28/16 05:54,9/28/16,5:54:48,78051,1301,21.7,0.9,Merged_no_ghost/F07/Baboon,2016 09 28 05 54 48.JPG
34838,F07,Baboon,9/28/16 05:54,9/28/16,5:54:49,1,0,0,0,Merged_no_ghost/F07/Baboon,2016 09 28 05 54 49.JPG
37589,G02,Baboon,8/10/16 5:54,8/10/16,5:54:58,54,1,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 54 58.JPG
37590,G02,Baboon,8/10/16 5:54,8/10/16,5:54:59,1,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 54 59.JPG
28470,F01,Baboon,12/7/16 5:55,12/7/16,5:55:09,44912,749,12.5,0.5,Merged_no_ghost/F01/Baboon,2016 07 12 05 55 09.JPG
28471,F01,Baboon,12/7/16 5:55,12/7/16,5:55:10,1,0,0,0,Merged_no_ghost/F01/Baboon,2016 07 12 05 55 10.JPG
50791,H11,Baboon,9/27/16 05:55,9/27/16,5:55:14,37,1,0,0,Merged_no_ghost/H11/Baboon,EK000185.JPG
50792,H11,Baboon,9/27/16 05:55,9/27/16,5:55:15,1,0,0,0,Merged_no_ghost/H11/Baboon,EK000186.JPG
70306,K06,Baboon,9/26/16 05:55,9/26/16,5:55:23,80,1,0,0,Merged_no_ghost/K06/Baboon,2016 09 26 05 42 23.JPG
70307,K06,Baboon,9/26/16 05:55,9/26/16,5:55:23,80,1,0,0,Merged_no_ghost/K06/Baboon,2016 09 26 05 42 24.JPG
37591,G02,Baboon,8/10/16 5:55,8/10/16,5:55:28,29,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 55 28.JPG
37592,G02,Baboon,8/10/16 5:55,8/10/16,5:55:29,1,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 55 29.JPG
27062,E10,Baboon,4/11/16 5:55,4/11/16,5:55:35,48624,810,13.5,0.6,Merged_no_ghost/E10/Baboon,2016 11 04 05 55 35.JPG
27063,E10,Baboon,4/11/16 5:55,4/11/16,5:55:36,1,0,0,0,Merged_no_ghost/E10/Baboon,2016 11 04 05 55 36.JPG
83,A06,Baboon,10/27/16 05:55,10/27/16,5:55:42,2525,42,0.7,0,Merged_no_ghost/A06/Baboon,2016 10 27 05 55 42.JPG
84,A06,Baboon,10/27/16 05:55,10/27/16,5:55:43,1,0,0,0,Merged_no_ghost/A06/Baboon,2016 10 27 05 55 43.JPG
46182,H05,Baboon,8/23/16 05:55,8/23/16,5:55:44,45934,766,12.8,0.5,Merged_no_ghost/H05/Baboon,2016 08 23 05 55 44.JPG
46183,H05,Baboon,8/23/16 05:55,8/23/16,5:55:44,45934,766,12.8,0.5,Merged_no_ghost/H05/Baboon,2016 08 23 05 55 45.JPG
34797,F07,Baboon,9/19/16 05:55,9/19/16,5:55:45,334104,5568,92.8,3.9,Merged_no_ghost/F07/Baboon,2016 09 19 05 55 45.JPG
34798,F07,Baboon,9/19/16 05:55,9/19/16,5:55:46,1,0,0,0,Merged_no_ghost/F07/Baboon,2016 09 19 05 55 46.JPG
46434,H05,Baboon,9/10/16 5:55,9/10/16,5:55:50,68,1,0,0,Merged_no_ghost/H05/Baboon,2016 10 09 05 55 50.JPG
46435,H05,Baboon,9/10/16 5:55,9/10/16,5:55:51,1,0,0,0,Merged_no_ghost/H05/Baboon,2016 10 09 05 55 51.JPG
41349,G06,Baboon,12/10/16 5:55,12/10/16,5:55:55,108,2,0,0,Merged_no_ghost/G06/Baboon,2016 10 12 05 55 55.JPG
41350,G06,Baboon,12/10/16 5:55,12/10/16,5:55:55,108,2,0,0,Merged_no_ghost/G06/Baboon,2016 10 12 05 55 56.JPG
50793,H11,Baboon,9/27/16 05:55,9/27/16,5:55:58,43,1,0,0,Merged_no_ghost/H11/Baboon,EK000187.JPG
50794,H11,Baboon,9/27/16 05:55,9/27/16,5:55:59,1,0,0,0,Merged_no_ghost/H11/Baboon,EK000188.JPG
34777,F07,Baboon,11/9/16 5:56,11/9/16,5:56:02,171384,2856,47.6,2,Merged_no_ghost/F07/Baboon,2016 09 11 05 56 02.JPG
34778,F07,Baboon,11/9/16 5:56,11/9/16,5:56:02,171384,2856,47.6,2,Merged_no_ghost/F07/Baboon,2016 09 11 05 56 03.JPG
66477,J11,Baboon,8/30/16 05:56,8/30/16,5:56:02,234,4,0.1,0,Merged_no_ghost/J11/Baboon,2016 08 30 05 56 02.JPG
66478,J11,Baboon,8/30/16 05:56,8/30/16,5:56:02,234,4,0.1,0,Merged_no_ghost/J11/Baboon,2016 08 30 05 56 03.JPG
99419,M10,Baboon,10/13/16 05:56,10/13/16,5:56:02,923,15,0.2,0,Merged_no_ghost/M10/Baboon,2016 10 13 05 56 02.JPG
99420,M10,Baboon,10/13/16 05:56,10/13/16,5:56:03,1,0,0,0,Merged_no_ghost/M10/Baboon,2016 10 13 05 56 03.JPG
53864,I04,Baboon,10/29/16 05:56,10/29/16,5:56:20,342480,5708,95.1,4,Merged_no_ghost/I04/Baboon,2016 10 29 05 56 20.JPG
53865,I04,Baboon,10/29/16 05:56,10/29/16,5:56:20,342480,5708,95.1,4,Merged_no_ghost/I04/Baboon,2016 10 29 05 56 21.JPG
75807,K12,Baboon,10/16/16 05:56,10/16/16,5:56:20,1193,20,0.3,0,Merged_no_ghost/K12/Baboon,2016 10 16 05 56 20.JPG
75808,K12,Baboon,10/16/16 05:56,10/16/16,5:56:20,1193,20,0.3,0,Merged_no_ghost/K12/Baboon,2016 10 16 05 56 21.JPG
86856,L07,Baboon,11/9/16 5:56,11/9/16,5:56:21,48966,816,13.6,0.6,Merged_no_ghost/L07/Baboon,2016 09 11 05 56 21.JPG
34843,F07,Baboon,2/10/16 5:56,2/10/16,5:56:22,249056,4151,69.2,2.9,Merged_no_ghost/F07/Baboon,2016 10 02 05 56 22.JPG
86857,L07,Baboon,11/9/16 5:56,11/9/16,5:56:22,1,0,0,0,Merged_no_ghost/L07/Baboon,2016 09 11 05 56 22.JPG
34844,F07,Baboon,2/10/16 5:56,2/10/16,5:56:23,1,0,0,0,Merged_no_ghost/F07/Baboon,2016 10 02 05 56 23.JPG
70358,K06,Baboon,9/28/16 05:56,9/28/16,5:56:23,396,7,0.1,0,Merged_no_ghost/K06/Baboon,2016 09 28 05 43 23.JPG
41351,G06,Baboon,12/10/16 5:56,12/10/16,5:56:24,29,0,0,0,Merged_no_ghost/G06/Baboon,2016 10 12 05 56 24.JPG
70359,K06,Baboon,9/28/16 05:56,9/28/16,5:56:24,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 09 28 05 43 24.JPG
41352,G06,Baboon,12/10/16 5:56,12/10/16,5:56:25,1,0,0,0,Merged_no_ghost/G06/Baboon,2016 10 12 05 56 25.JPG
44878,H03,Baboon,10/17/16 05:56,10/17/16,5:56:27,261343,4356,72.6,3,Merged_no_ghost/H03/Baboon,2016 10 17 05 56 27.JPG
44879,H03,Baboon,10/17/16 05:56,10/17/16,5:56:27,261343,4356,72.6,3,Merged_no_ghost/H03/Baboon,2016 10 17 05 56 28.JPG
37593,G02,Baboon,8/10/16 5:56,8/10/16,5:56:29,60,1,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 56 29.JPG
37594,G02,Baboon,8/10/16 5:56,8/10/16,5:56:30,1,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 56 30.JPG
66459,J11,Baboon,8/24/16 05:56,8/24/16,5:56:33,205,3,0,0,Merged_no_ghost/J11/Baboon,2016 08 24 05 56 33.JPG
66460,J11,Baboon,8/24/16 05:56,8/24/16,5:56:33,205,3,0,0,Merged_no_ghost/J11/Baboon,2016 08 24 05 56 34.JPG
50149,H09,Baboon,10/29/16 05:56,10/29/16,5:56:36,308576,5143,85.7,3.6,Merged_no_ghost/H09/Baboon,2016 10 29 05 56 36.JPG
50150,H09,Baboon,10/29/16 05:56,10/29/16,5:56:36,308576,5143,85.7,3.6,Merged_no_ghost/H09/Baboon,2016 10 29 05 56 37.JPG
34893,F07,Baboon,9/10/16 5:56,9/10/16,5:56:39,73670,1228,20.5,0.9,Merged_no_ghost/F07/Baboon,2016 10 09 05 56 39.JPG
34894,F07,Baboon,9/10/16 5:56,9/10/16,5:56:40,1,0,0,0,Merged_no_ghost/F07/Baboon,2016 10 09 05 56 40.JPG
16131,D05,Baboon,8/23/16 05:56,8/23/16,5:56:47,343549,5726,95.4,4,Merged_no_ghost/D05/Baboon,2016 08 23 05 56 47.JPG
66479,J11,Baboon,8/30/16 05:56,8/30/16,5:56:47,45,1,0,0,Merged_no_ghost/J11/Baboon,2016 08 30 05 56 47.JPG
66480,J11,Baboon,8/30/16 05:56,8/30/16,5:56:47,45,1,0,0,Merged_no_ghost/J11/Baboon,2016 08 30 05 56 48.JPG
16132,D05,Baboon,8/23/16 05:56,8/23/16,5:56:48,1,0,0,0,Merged_no_ghost/D05/Baboon,2016 08 23 05 56 48.JPG
46184,H05,Baboon,8/23/16 05:56,8/23/16,5:56:48,64,1,0,0,Merged_no_ghost/H05/Baboon,2016 08 23 05 56 48.JPG
46185,H05,Baboon,8/23/16 05:56,8/23/16,5:56:48,64,1,0,0,Merged_no_ghost/H05/Baboon,2016 08 23 05 56 49.JPG
86858,L07,Baboon,11/9/16 5:56,11/9/16,5:56:51,29,0,0,0,Merged_no_ghost/L07/Baboon,2016 09 11 05 56 51.JPG
52446,H11,Baboon,10/23/16 05:56,10/23/16,5:56:52,192,3,0,0,Merged_no_ghost/H11/Baboon,EK002487.JPG
86859,L07,Baboon,11/9/16 5:56,11/9/16,5:56:52,1,0,0,0,Merged_no_ghost/L07/Baboon,2016 09 11 05 56 52.JPG
2625,A10,Baboon,11/10/16 5:56,11/10/16,5:56:53,88334,1472,24.5,1,Merged_no_ghost/A10/Baboon,2016 10 11 05 56 53.JPG
52447,H11,Baboon,10/23/16 05:56,10/23/16,5:56:53,1,0,0,0,Merged_no_ghost/H11/Baboon,EK002488.JPG
2626,A10,Baboon,11/10/16 5:56,11/10/16,5:56:54,1,0,0,0,Merged_no_ghost/A10/Baboon,2016 10 11 05 56 54.JPG
70288,K06,Baboon,9/25/16 05:56,9/25/16,5:56:55,44917,749,12.5,0.5,Merged_no_ghost/K06/Baboon,2016 09 25 05 43 55.JPG
59250,I12,Baboon,10/23/16 05:56,10/23/16,5:56:56,478,8,0.1,0,Merged_no_ghost/I12/Baboon,2016 10 23 05 56 56.JPG
70289,K06,Baboon,9/25/16 05:56,9/25/16,5:56:56,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 09 25 05 43 56.JPG
59251,I12,Baboon,10/23/16 05:56,10/23/16,5:56:57,1,0,0,0,Merged_no_ghost/I12/Baboon,2016 10 23 05 56 57.JPG
50795,H11,Baboon,9/27/16 05:56,9/27/16,5:56:59,60,1,0,0,Merged_no_ghost/H11/Baboon,EK000190.JPG
50796,H11,Baboon,9/27/16 05:57,9/27/16,5:57:00,1,0,0,0,Merged_no_ghost/H11/Baboon,EK000189.JPG
37595,G02,Baboon,8/10/16 5:57,8/10/16,5:57:04,34,1,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 57 04.JPG
37596,G02,Baboon,8/10/16 5:57,8/10/16,5:57:05,1,0,0,0,Merged_no_ghost/G02/Baboon,2016 10 08 05 57 05.JPG
95010,L13,Baboon,3/9/16 5:57,3/9/16,5:57:09,341449,5691,94.8,3.9,Merged_no_ghost/L13/Baboon,2016 09 03 05 57 09.JPG
95011,L13,Baboon,3/9/16 5:57,3/9/16,5:57:10,1,0,0,0,Merged_no_ghost/L13/Baboon,2016 09 03 05 57 10.JPG
53866,I04,Baboon,10/29/16 05:57,10/29/16,5:57:14,54,1,0,0,Merged_no_ghost/I04/Baboon,2016 10 29 05 57 14.JPG
53867,I04,Baboon,10/29/16 05:57,10/29/16,5:57:15,1,0,0,0,Merged_no_ghost/I04/Baboon,2016 10 29 05 57 15.JPG
61231,J03,Baboon,8/28/16 05:57,8/28/16,5:57:18,133273,2221,37,1.5,Merged_no_ghost/J03/Baboon,2016 08 28 05 57 18.JPG
61232,J03,Baboon,8/28/16 05:57,8/28/16,5:57:18,133273,2221,37,1.5,Merged_no_ghost/J03/Baboon,2016 08 28 05 57 19.JPG
46436,H05,Baboon,9/10/16 5:57,9/10/16,5:57:19,88,1,0,0,Merged_no_ghost/H05/Baboon,2016 10 09 05 57 19.JPG
46437,H05,Baboon,9/10/16 5:57,9/10/16,5:57:19,88,1,0,0,Merged_no_ghost/H05/Baboon,2016 10 09 05 57 20.JPG
23537,E04,Baboon,10/15/16 05:57,10/15/16,5:57:21,790,13,0.2,0,Merged_no_ghost/E04/Baboon,2016 10 15 05 57 21.JPG
23538,E04,Baboon,10/15/16 05:57,10/15/16,5:57:22,1,0,0,0,Merged_no_ghost/E04/Baboon,2016 10 15 05 57 22.JPG
66461,J11,Baboon,8/24/16 05:57,8/24/16,5:57:27,54,1,0,0,Merged_no_ghost/J11/Baboon,2016 08 24 05 57 27.JPG
