,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
272742,K04,Baboon,12/31/16 5:53,12/31/16,5:53:58,564,9,0.2,0,Complete/K04/Baboon,12310758.JPG
120548,G08,Baboon,3/9/17 5:54,3/9/17,5:54:00,31,1,0,0,Complete/G08/Baboon,03110341.JPG
272743,K04,Baboon,12/31/16 5:54,12/31/16,5:54:00,2,0,0,0,Complete/K04/Baboon,12310759.JPG
339659,M10,Baboon,11/27/16 5:54,11/27/16,5:54:02,47,1,0,0,Complete/M10/Baboon,11270677.JPG
120549,G08,Baboon,3/9/17 5:54,3/9/17,5:54:03,3,0,0,0,Complete/G08/Baboon,03110342.JPG
339660,M10,Baboon,11/27/16 5:54,11/27/16,5:54:04,2,0,0,0,Complete/M10/Baboon,11270678.JPG
267870,J13,Baboon,12/11/16 5:54,12/11/16,5:54:05,437,7,0.1,0,Complete/J13/Baboon,EK002301.JPG
267871,J13,Baboon,12/11/16 5:54,12/11/16,5:54:06,1,0,0,0,Complete/J13/Baboon,EK002302.JPG
90217,F07,Baboon,11/10/16 5:54,11/10/16,5:54:07,101,2,0,0,Complete/F07/Baboon,EK000699.JPG
90218,F07,Baboon,11/10/16 5:54,11/10/16,5:54:07,101,2,0,0,Complete/F07/Baboon,EK000700.JPG
142081,H05,Baboon,3/29/17 5:54,3/29/17,5:54:11,62148,1036,17.3,0.7,Complete/H05/Baboon,EK006269.JPG
142082,H05,Baboon,3/29/17 5:54,3/29/17,5:54:11,62148,1036,17.3,0.7,Complete/H05/Baboon,EK006270.JPG
22663,B09,Baboon,12/22/16 5:54,12/22/16,5:54:12,365,6,0.1,0,Complete/B09/Baboon,12220349.JPG
22664,B09,Baboon,12/22/16 5:54,12/22/16,5:54:13,1,0,0,0,Complete/B09/Baboon,12220350.JPG
120665,G08,Baboon,4/18/17 5:54,4/18/17,5:54:14,304737,5079,84.7,3.5,Complete/G08/Baboon,04200711.JPG
120666,G08,Baboon,4/18/17 5:54,4/18/17,5:54:16,2,0,0,0,Complete/G08/Baboon,04200712.JPG
286367,K06,Baboon,3/29/17 5:54,3/29/17,5:54:18,102,2,0,0,Complete/K06/Baboon,EK000564.JPG
286368,K06,Baboon,3/29/17 5:54,3/29/17,5:54:19,1,0,0,0,Complete/K06/Baboon,EK000565.JPG
339897,M10,Baboon,12/13/16 5:54,12/13/16,5:54:19,65,1,0,0,Complete/M10/Baboon,12130174.JPG
339898,M10,Baboon,12/13/16 5:54,12/13/16,5:54:19,65,1,0,0,Complete/M10/Baboon,12130175.JPG
285271,K06,Baboon,12/20/16 5:54,12/20/16,5:54:23,129320,2155,35.9,1.5,Complete/K06/Baboon,EK001899.JPG
83363,E12,Baboon,2/3/17 5:54,2/3/17,5:54:24,39,1,0,0,Complete/E12/Baboon,02030465.JPG
285272,K06,Baboon,12/20/16 5:54,12/20/16,5:54:24,1,0,0,0,Complete/K06/Baboon,EK001900.JPG
83364,E12,Baboon,2/3/17 5:54,2/3/17,5:54:26,2,0,0,0,Complete/E12/Baboon,02030466.JPG
267892,J13,Baboon,12/12/16 5:54,12/12/16,5:54:26,53,1,0,0,Complete/J13/Baboon,EK002337.JPG
