SppCode1,SppCode2,SIF,Direction,sd,2.50%,97.50%,Rhat,psiA,sd,2.50%,97.50%,Rhat,psiBA,sd,2.50%,97.50%,Rhat,psiBa,sd,2.50%,97.50%,Rhat,psiB,sd,2.50%,97.50%,Rhat,pA,sd,2.50%,97.50%,Rhat,pB,sd,2.50%,97.50%,Rhat
AEME,PACY,1.01,None,0.02,0.99,1.05,1,0.84,0.05,0.74,0.92,1,0.98,0.02,0.93,1,1,0.91,0.08,0.69,1,1,0.97,0.02,0.92,1,1,0.16,0,0.16,0.17,1,0.34,0,0.33,0.35,1
AEME,POLA,1.02,None,0.02,0.99,1.08,1,0.84,0.05,0.74,0.92,1,0.95,0.03,0.87,0.99,1,0.83,0.11,0.56,0.98,1,0.93,0.03,0.85,0.98,1,0.16,0,0.15,0.17,1,0.04,0,0.04,0.04,1
AEME,SYCA,1.07,None,0.08,0.91,1.23,1,0.84,0.05,0.74,0.92,1,0.32,0.07,0.2,0.46,1,0.19,0.12,0.03,0.47,1,0.3,0.06,0.19,0.43,1,0.16,0,0.15,0.17,1,0.02,0,0.02,0.03,1
AEME,SYGR,1,None,0.09,0.8,1.16,1,0.84,0.05,0.74,0.92,1,0.27,0.06,0.16,0.4,1,0.28,0.13,0.07,0.56,1,0.27,0.06,0.17,0.39,1,0.16,0,0.15,0.17,1,0.03,0,0.03,0.04,1
AEME,TAOR,0.85,None,0.19,0.42,1.14,1,0.84,0.05,0.74,0.92,1,0.23,0.17,0.04,0.7,1,0.41,0.25,0.05,0.94,1,0.26,0.16,0.07,0.68,1,0.16,0,0.16,0.17,1,0,0,0,0.01,1
AEME,TRSY,1.01,None,0.02,0.99,1.05,1,0.84,0.05,0.74,0.92,1,0.98,0.02,0.93,1,1,0.91,0.08,0.7,1,1,0.97,0.02,0.92,1,1,0.16,0,0.15,0.17,1,0.25,0,0.24,0.26,1
ALBU,CENA,0.9,None,0.51,0.14,2.07,1,0.16,0.05,0.07,0.26,1,0.2,0.12,0.03,0.48,1,0.23,0.06,0.12,0.35,1,0.22,0.05,0.13,0.33,1,0.02,0,0.01,0.03,1,0.06,0.01,0.05,0.07,1
ALBU,CICI,0.98,None,0.1,0.74,1.12,1,0.16,0.05,0.07,0.26,1,0.9,0.09,0.66,1,1,0.92,0.04,0.83,0.98,1,0.92,0.03,0.84,0.97,1,0.02,0,0.01,0.03,1,0.06,0,0.06,0.07,1
ALBU,GEGE,0.86,None,0.12,0.58,1.05,1,0.16,0.05,0.08,0.26,1,0.79,0.12,0.51,0.97,1,0.94,0.04,0.85,0.99,1,0.91,0.04,0.83,0.97,1,0.02,0,0.01,0.03,1,0.11,0,0.11,0.12,1
ALBU,LEMI,1.53,None,0.39,0.8,2.33,1,0.16,0.05,0.07,0.26,1,0.6,0.15,0.3,0.86,1,0.36,0.07,0.23,0.49,1,0.4,0.06,0.28,0.52,1,0.02,0,0.01,0.03,1,0.04,0,0.03,0.05,1
ALBU,LOAF,0.97,None,0.1,0.74,1.12,1,0.16,0.05,0.07,0.26,1,0.9,0.09,0.66,1,1,0.93,0.04,0.84,0.98,1,0.92,0.03,0.84,0.98,1,0.02,0,0.01,0.03,1,0.05,0,0.04,0.05,1
ALBU,ORAF,0.98,None,0.35,0.36,1.7,1,0.16,0.05,0.08,0.26,1,0.44,0.16,0.15,0.77,1,0.45,0.08,0.31,0.61,1,0.45,0.07,0.32,0.6,1,0.02,0,0.01,0.03,1,0.02,0,0.01,0.02,1
ALBU,OTCR,0.7,None,0.4,0.1,1.61,1,0.16,0.05,0.07,0.26,1,0.28,0.17,0.04,0.69,1,0.43,0.11,0.24,0.68,1,0.4,0.1,0.24,0.64,1,0.02,0,0.01,0.03,1,0.01,0,0,0.01,1
ALBU,PACY,0.93,None,0.08,0.72,1.03,1,0.16,0.05,0.07,0.26,1,0.91,0.09,0.68,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.02,0,0.01,0.03,1,0.34,0,0.33,0.35,1
ALBU,POLA,0.97,None,0.09,0.74,1.11,1,0.16,0.05,0.07,0.26,1,0.9,0.09,0.66,1,1,0.93,0.04,0.85,0.99,1,0.93,0.03,0.85,0.98,1,0.02,0,0.01,0.03,1,0.04,0,0.04,0.04,1
ALBU,SYCA,1.02,None,0.45,0.27,2.02,1,0.16,0.05,0.07,0.26,1,0.31,0.14,0.08,0.61,1,0.3,0.07,0.18,0.44,1,0.3,0.06,0.19,0.43,1,0.02,0,0.01,0.03,1,0.02,0,0.02,0.03,1
ALBU,SYGR,1.9,None,0.58,0.87,3.16,1,0.16,0.05,0.07,0.26,1,0.5,0.15,0.21,0.79,1,0.23,0.06,0.12,0.35,1,0.27,0.06,0.17,0.38,1,0.02,0,0.01,0.03,1,0.03,0,0.03,0.04,1
ALBU,TAOR,0.92,None,0.77,0.03,2.84,1,0.16,0.05,0.07,0.26,1,0.25,0.23,0.01,0.85,1,0.31,0.21,0.07,0.86,1,0.3,0.19,0.07,0.79,1,0.02,0,0.01,0.03,1,0,0,0,0.01,1
ALBU,TRSY,0.93,None,0.08,0.72,1.03,1,0.16,0.05,0.07,0.26,1,0.9,0.09,0.68,1,1,0.98,0.02,0.93,1,1,0.97,0.02,0.92,1,1,0.02,0,0.01,0.03,1,0.25,0,0.24,0.26,1
ATPA,AEME,1.04,None,0.05,0.94,1.15,1,0.62,0.07,0.49,0.76,1,0.86,0.06,0.73,0.95,1,0.78,0.09,0.59,0.93,1,0.83,0.05,0.73,0.91,1,0.02,0,0.02,0.02,1,0.16,0,0.16,0.17,1
ATPA,ALBU,0.67,None,0.23,0.24,1.13,1,0.63,0.07,0.49,0.76,1,0.11,0.05,0.03,0.23,1,0.26,0.1,0.1,0.48,1,0.17,0.05,0.08,0.27,1,0.02,0,0.02,0.02,1,0.02,0,0.01,0.03,1
ATPA,BDCR,0.87,None,0.2,0.48,1.26,1,0.62,0.07,0.49,0.76,1,0.2,0.07,0.09,0.34,1,0.28,0.1,0.11,0.49,1,0.23,0.05,0.13,0.34,1,0.02,0,0.02,0.02,1,0.03,0,0.02,0.03,1
ATPA,CENA,1.11,None,0.2,0.72,1.5,1,0.62,0.07,0.49,0.76,1,0.25,0.07,0.12,0.39,1,0.18,0.08,0.05,0.37,1,0.22,0.05,0.13,0.33,1,0.02,0,0.02,0.02,1,0.06,0.01,0.05,0.07,1
ATPA,CICI,1.06,Positive,0.04,1,1.15,1,0.62,0.07,0.49,0.75,1,0.97,0.03,0.89,1,1,0.83,0.08,0.65,0.95,1,0.92,0.04,0.84,0.97,1,0.02,0,0.02,0.02,1,0.06,0,0.06,0.07,1
ATPA,GEGE,1,None,0.04,0.93,1.07,1,0.62,0.07,0.49,0.76,1,0.91,0.05,0.8,0.98,1,0.91,0.06,0.76,0.99,1,0.91,0.04,0.83,0.97,1,0.02,0,0.02,0.02,1,0.11,0,0.11,0.12,1
