StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,habitat.type,dominant.tree,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,fire2015,fire2016,fire2017
D07,-18.95907,34.37054,644295.3496,7903140.576,90,1,0,10,7,5,7,5,2,2_OW,mix,7.243978024,1,1,4074.408203,117.4708023,117.4707642,12292.49121,52.16975784,3549.67627,2.880082607,0.388952434,1.68656075,0.404191285,1.825145721,0.057629254,0.901065052,0.194083646,NA,NA,NA,0.014154871,0.002237719,0.053618196,0,0,0
D09,-18.97986,34.37051,644274.2966,7900839.718,60,-2,1,80,1,1,0,0,2.5,2.5_OCW,CA,14.09720802,1,1,1847.439941,1039.238647,1039.238647,14010.10449,292.9839478,1847.120605,2.836110353,0.363306433,1.478896976,0.414556921,1.534554482,0.042246845,0.637720048,0.171905011,211,248,NA,0,0,0.001872986,1,1,0
E02,-18.90468,34.39004,646396.0875,7909143.999,110,-4,0,80,0,0,0,0,1,1_SW,AX_FA,1.026332617,0,0,10397.94824,146.7473145,146.7473602,7149.865234,207.7147675,1196.640625,1.729707599,0.17018491,0.408595085,0.118391335,0.747710228,0.021756886,0.187298611,0.056738466,NA,NA,NA,0,0.00345347,1.316907406,0,0,0
E04,-18.92648,34.39024,646398.1729,7906731.168,70,-1,0,25,6,5,6,5,2,2_OW,AR,4.514027119,0,0,8108.509766,851.3939209,1004.626038,8348.763672,517.3314209,2507.550049,2.980464697,0.378349304,1.524006844,0.281635612,1.802664399,0.056453958,0.720321894,0.149772301,NA,NA,NA,0,0,0.050729722,0,0,0
E06,-18.94814,34.39065,646422.4683,7904333.652,90,1,1,30,3,1,3,1,2,2_OW,CA,7,0,0,5909.675293,478.2506714,847.0457764,9956.298828,487.0079041,3746.4104,4.913780212,0.506602764,2.028587341,0.478054017,0.433805168,0.020569639,0.304201514,0.124285303,208.4575653,NA,NA,0,0,0.006396724,1,0,0
E08,-18.97007,34.39047,646384.3728,7901906.739,70,-6,0,50,0,1,0,1,3,3_CW,CA,14.55404758,1,1,3866.68042,663.99646,663.99646,11782.33691,416.1642151,3866.433838,3.797045469,0.430855721,1.620383739,0.407331735,2.647793531,0.056107346,0.751797616,0.183202416,208.0376434,248.9902344,233.8002472,0,0,0.029761432,1,1,1
E10,-18.99155,34.39053,646371.9214,7899529.423,90,-8,1,80,0,0,0,0,2,2_OW,CA,11.61771679,1,1,2196.321533,456.5426941,456.5426636,13575.85547,133.9936371,2196.606201,1.931586981,0.372952431,1.816738844,0.56594789,0.938384652,0.02745009,0.455643564,0.13482222,208,247.4809265,234,0,0.000175298,0.002317423,1,1,1
E12,-19.01331,34.39089,646390.7826,7897120.864,80,-7,0,80,1,0,1,0,4,4_F,mix,7.729577065,1,1,1006.296143,844.609375,844.609375,15521.88086,82.82206726,1006.897522,4.807846546,0.576539576,2.24346137,0.507747173,0.342214823,0.032322582,0.44270727,0.090408094,249,248.5022125,NA,0.322031498,0.003103987,0.114677422,1,1,0
F01,-18.89402,34.40934,648438.4484,7910307.681,60,3,0,10,3,2,3,2,1,1_SW,AX_FA,4.698989868,0,0,12181.30176,721.1661987,721.1661987,4825.426758,265.3390198,1913.336182,3.024577379,0.338195115,1.463723421,0.299311012,1.49708581,0.040406212,0.780384421,0.149230391,NA,NA,NA,0,0.000509958,0.033577312,0,0,0
F03,-18.91463,34.40951,648438.1726,7908026.562,90,-6,0,10,9,2,9,2,1,1_SW,AR,3.746916056,0,0,10115.12598,346.0800476,346.0800476,5942.76416,68.01644135,3366.331543,3.065089941,0.434586972,1.747946858,0.395051509,1.777685285,0.062183019,0.999571443,0.220527723,NA,NA,NA,0.035803497,0.000844618,0.011729972,0,0,0
