SppCode,GenusLatin,SpeciesLatin,CommName,Diet,Weight,Sociality,Family,Order,Activity_pattern,Sociality,Mass_category,Trophic_level,Guild_Pansu,Pansu_included,Pansu_percent_gras_RRA,Pansu_pop_niche_width,Pansu_indiv_niche_breadth,5-1_AdultBodyMass_g,5-1_AdultBodyMass_kg,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm
LOAF,Loxodonta,africana,Elephant,Herbivore,3824539.93,group,Elephantidae,Proboscidea,diurnal,group,Very_large,1,mixed_feeder,1,20,3.14,10.2,3824539.93,3824.53993,-999,0,3467.5,-999,-999,4,660,1,587.53,1284.09,1825,0.84,-999,960,105000,1198.63,6.72,-999,4977.64,19.5,2,1,1088.8,550616.56,-999,511;543;730;854;899;931;1297;1573;1577;1745;1763;2195;2313;2338;2655;2755;2820;2949;2986,-999,0.48,-999,-999,4233287.94,16.36,-33.56,-8.6,41.93,-13.9,14.01,0,19.03,1,0.15,83.39,231.48,910.08,1531.04
MATE,Manis,temminckii,Pangolin,Carnivore,11943.74,solitary,Manidae,Pholidota,crepuscular,group,Medium,2,NA,0,NA,NA,NA,11943.74,11.94374,488.71,-999,-999,-999,-999,1,139,3,10.22,9.59,365,1,1,-999,344.96,-999,-999,-999,755.15,1,2,2,59.27,-999,-999,583;692;1297;1303;1470;1573;1848;2151;2629;2655;2780,-999,-999,-999,-999,7184102.64,18.5,-31,-6.24,40.84,11.73,26.28,0,25.72,0,0.13,59.84,222.67,718.78,1479.99
MECA,Mellivora,capensis,Honey_badger,Omnivore,8999.99,solitary,Mustelidae,Carnivora,crepuscular,solitary,Medium,1,NA,0,NA,NA,NA,8999.99,8.99999,682.96,33.12,-999,-999,-999,6,181.46,1,-999,-999,182.5,2.35,2,318,210,-999,-999,-999,-999,-999,4,1,23.86,-999,-999,543;1113;1297;2655;2986,-999,-999,-999,-999,27823522.11,43.11,-34.83,4.13,87.75,-17.53,35.1,0,54.67,0,0.12,66.13,236.56,682.1,1464.16
MUMU,Mungos,mungo,Mongoose_banded,Carnivore,1260,group,Herpestidae,Carnivora,diurnal,solitary,Small,1,NA,0,NA,NA,NA,1260,1.26,362.42,9.97,365,-999,-999,1,60.91,1,1.66,2.16,365,2.68,2.5,144,24.2,99.49,16.98,-999,349.33,-999,6,1,20.88,-999,-999,543;730;966;1052;1113;1297;2655,-999,-999,-999,-999,15894555.38,17.52,-34.21,-8.34,51.41,-17.53,16.93,0,33.16,1,0.13,78.76,238.55,827.93,1543.01
ORAF,Orycteropus,afer,Aardvark,Carnivore,56175.2,solitary,Orycteropodidae,Tubulidentata,nocturnal,solitary,Large,1,NA,0,NA,NA,NA,56175.2,56.1752,1254.43,0,1095,6144,48000,1,222.05,2,-999,-999,-999,1.1,1,288,1899.68,-999,-999,-999,755.15,1,4,1,40.92,5612.48,-999,511;543;1008;1126;1297;1822;1947;1980;2151;2611;2655,-999,-999,-999,-999,18035652.33,23.47,-34.83,-5.68,51.41,-17.53,16.93,0,31.68,1,0.12,75.34,234.77,800.71,1524.66
OTCR,Otolemur,crassicaudatus,Bushbaby,Omnivore,1206.61,group,Galagidae,Primates,nocturnal,group,Small,-999,NA,0,NA,NA,NA,1206.61,1.20661,307,-999,799.35,457.15,977,5,131.04,-999,0.06,0.07,365,1.14,-999,225.6,46.57,-999,87.99,-999,609.86,3.5,-999,-999,124.62,499.99,-999,208;223;543;730;732;868;1297;1544;1547;1822;1848;2344;2493;2655;2660;2986,-999,1.1,-999,-999,4121059.44,1.05,-30.48,-14.71,40.84,18.27,29.55,0,34.54,2,0.18,87.09,220.22,912.84,1482.63
OUOU,Ourebia,ourebi,Oribi,Herbivore,17186.09,pair,Bovidae,Artiodactyla,diurnal,pair,Medium,1,grazer,1,42,2.3,6.4,17186.09,17.18609,1160,-999,674.33,-999,-999,3,210.5,1,-999,-999,182.5,0.98,-999,189.96,2196.14,-999,2.43,-999,372.09,2,4,1,136.87,-999,-999,543;730;869;917;1297;1525;1848;2629;2655;2693;2986,-999,1.56,-999,-999,8258056.75,16.53,-33.77,-8.62,45.53,-15.07,15.23,0,35.71,1,0.13,87.92,237.62,899.5,1552.27
PACY,Papio,cynocephalus,Baboon,Omnivore,15822.15,group,Cercopithecidae,Primates,diurnal,group,Medium,-999,omnivore,1,NA,NA,NA,15822.15,15.82215,-999,-999,2007.5,-999,-999,2,172.99,-999,14.95,-999,669.16,1.01,-999,540,709.88,-999,5.86,52.3,2560.56,48.2,-999,-999,450.42,2780.61,-999,208;543;730;850;930;1347;1544;1547;1594;1763;1767;1979;2344;2493;2660;2986,-999,0.81,-999,-999,3953480.36,6.99,-18.92,-5.96,47.31,12.27,29.79,1,24.54,2,0.18,86.42,230.4,876.56,1524.04
PALE,Panthera,leo,Lion,Carnivore,158623.93,group,Felidae,Carnivora,nocturnal,group,Very_large,1,NA,0,NA,NA,NA,158623.93,158.62393,1835.16,3,1047.55,27420.6,155800,1,108.74,1,55.19,103.85,730,2.75,2,360,1291.71,-999,0.11,-999,987.77,-999,4,1,197.86,-999,-999,367;542;543;730;1015;1052;1113;1297;1573;1594;2655,-999,-999,-999,-999,11237685.34,21.67,-28.5,-3.41,71.43,-14.12,28.65,0,28.6,1,0.14,85.8,234.38,902.1,1541.66
PHAF,Phacochoerus,africanus,Warthog,Herbivore,82499.99,group,Suidae,Artiodactyla,diurnal,group,Large,-999,grazer,1,97,2.1,4.9,82499.99,82.49999,1355.54,-999,-999,-999,-999,1,172.49,-999,1.55,-999,-999,-999,-999,180,-999,-999,-999,-999,-999,-999,4,-999,-999,-999,-999,760;1848;2655,-999,-999,-999,-999,11093470.88,18.77,-32,-6.61,44.87,-17.53,13.66,0,33.08,1,0.13,86.12,233.01,891.76,1524.23
POLA,Potamochoerus,larvatus,Bushpig,Omnivore,69063.79,group,Suidae,Artiodactyla,nocturnal,group,Large,1,NA,0,NA,NA,NA,69063.79,69.06379,-999,-999,-999,-999,-999,7,121.73,1,4.47,-999,-999,2.73,-999,-999,-999,-999,0.4,7.2,-999,8,-999,1,-999,-999,-999,645;1045;1848;2180;2655,-999,-999,-999,-999,5892226.64,13.69,-34.44,-10.37,46.08,13.07,29.57,0,40.24,2,0.15,86.44,220.05,946.9,1502.66
RERE,Redunca,redunca,Reedbuck,Herbivore,43288.95,group,Bovidae,Artiodactyla,crepuscular,group,Large,1,grazer,1,56,2.34,6.7,43288.95,43.28895,1150,-999,-999,-999,-999,1,228.12,1,-999,-999,-999,1,-999,216,-999,-999,1.03,-999,-999,-999,4,1,-999,-999,-999,543;730;869;917;1297;1525;1848;2655;2693;2986;3057,-999,-999,-999,-999,6462304.59,16.27,-11.83,2.21,41.29,-17.4,11.94,0,45.47,1,0.12,91.58,247.37,937.91,1597.01
SYCA,Syncerus,caffer,Buffalo,Herbivore,592665.98,group,Bovidae,Artiodactyla,crepuscular,group,Very_large,1,grazer,1,34,2.18,9.5,592665.98,592.66598,2525.86,-999,1460,-999,-999,1,337.49,1,63.73,59.79,638.75,1.08,1,354,39843.11,-999,5.84,3000,1683.65,12,-999,1,319.37,151878.4,-999,543;730;854;869;904;1297;1525;1573;1763;1848;2338;2620;2629;2655;2986,-999,-999,-999,-999,11706834.65,15.85,-33.51,-8.82,43.95,-14.48,14.73,0,31.59,1,0.14,100.45,237.8,1004.99,1548.94
SYGR,Sylvicapra,grimmia,Duiker_common,Herbivore,15639.15,solitary,Bovidae,Artiodactyla,crepuscular,solitary,Medium,1,NA,0,NA,NA,NA,15639.15,15.63915,960.71,-999,608.33,-999,-999,4,174.89,1,-999,-999,234,0.98,2,171.96,1581.45,-999,2.42,-999,293.14,1,4,1,60.83,4955.54,-999,543;730;869;1297;1525;1763;1848;2629;2655;2693;2986;3046,-999,-999,-999,-999,14120906.18,16.39,-34.83,-9.22,46.19,-17.53,14.33,0,33.95,1,0.13,80.82,227.72,847.89,1495.94
TAOR,Taurotragus,oryx,Eland,Herbivore,562592.69,group,Bovidae,Artiodactyla,crepuscular,group,Very_large,1,NA,0,NA,NA,NA,562592.69,562.59269,2656.78,-999,958.12,36000,150000,3,271,1,195.15,38.36,337,1,-999,300,30889.05,-999,1.64,500,672.49,4.05,-999,1,128.68,96495.55,-999,453;543;730;854;869;917;1297;1350;1525;1573;1594;1763;1822;1848;2629;2655;2693;2986,-999,1.14,-999,-999,5405307.84,7.22,-27.42,-10.1,41.67,12.47,27.07,0,24.95,1,0.16,76.46,221.37,832.14,1485.68
TRAN,Tragelaphus,angasii,Nyala,Herbivore,87616.76,group,Bovidae,Artiodactyla,crepuscular,group,Large,1,mixed_feeder,1,12,3.08,10.8,87616.76,87.61676,1935.86,-999,695.78,-999,-999,4,219.99,1,1.63,-999,297,1,-999,192,5541.58,-999,126.94,-999,645.51,15.5,-999,1,212.91,-999,-999,87;543;730;869;917;1297;1763;1848;2629;2655;2693;2986,-999,1.22,-999,-999,274074.58,-15.6,-28.48,-22.04,35.21,29.07,32.14,1,18.74,2,0.21,65.29,229.85,860.67,1417.11
TRST,Tragelaphus,strepsiceros,Kudu,Herbivore,206056.41,group,Bovidae,Artiodactyla,diurnal,solitary,Very_large,1,browser,1,0,1.97,7.8,206056.41,206.05641,2199.99,-999,912.5,-999,-999,2,220.94,1,835.1,783.47,365,1,-999,276,15366.57,-999,1.06,-999,665.38,12,-999,1,182.5,-999,-999,453;543;730;854;869;1297;1525;1573;1577;1848;2629;2655;2693;2986,-999,1.1,-999,-999,6476879.55,20.14,-34.05,-6.95,47.94,12.44,30.19,0,24.17,1,0.14,61.83,215.34,732.24,1469.28
TRSY,Tragelaphus,sylvaticus,Bushbuck,Herbivore,43250.39,solitary,Bovidae,Artiodactyla,crepuscular,group,Large,1,browser,1,0,2.68,7.7,43250.39,43.25039,1247.1,-999,644.15,-999,-999,4,182.5,2,0.02,0.02,235.72,1,-999,156,3027.79,-999,1.52,-999,431.61,1,-999,1,-999,-999,-999,57;200;730;854;869;1297;1525;1573;1848;2629;2655;2693;2986;3057,-999,1.37,-999,-999,13167565.73,16.11,-34.83,-9.36,45.58,-17.53,14.02,0,41.29,1,0.13,94.18,237.61,934.54,1541.54
