"StudySite","SppCode1","SppCode2","Spp1Det","Spp2Det","Operation"
"E02","CENA","AEME",0,15,51
"E02","ALBU","AEME",0,15,51
"E02","BDCR","AEME",0,15,51
"E02","LOAF","AEME",6,15,51
"E02","CHPY","AEME",0,15,51
"E02","POLA","AEME",1,15,51
"E02","HEIC","AEME",0,15,51
"E02","TRAN","AEME",0,15,51
"E02","ORAF","AEME",0,15,51
"E04","CICI","AEME",7,39,90
"E04","HIAM","AEME",0,39,90
"E04","GASA","AEME",0,39,90
"E04","PHAF","AEME",48,39,90
"E04","MECA","AEME",0,39,90
"E04","ATPA","AEME",0,39,90
"E04","ORAF","AEME",0,39,90
"E04","HYAF","AEME",2,39,90
"E04","BDCR","AEME",0,39,90
"E04","LOAF","AEME",6,39,90
"E04","GEGE","AEME",0,39,90
"E04","CENA","AEME",0,39,90
"E04","OUOU","AEME",5,39,90
"E04","TRSY","AEME",21,39,90
"E04","LEMI","AEME",0,39,90
"E04","POLA","AEME",6,39,90
"E04","SYGR","AEME",0,39,90
"E04","ICAL","AEME",0,39,90
"E04","PALE","AEME",0,39,90
"E04","HEPA","AEME",0,39,90
"E04","HEIC","AEME",0,39,90
"E04","ALBU","AEME",0,39,90
"E04","TRAN","AEME",1,39,90
"E04","OTCR","AEME",0,39,90
"E04","SYCA","AEME",0,39,90
"E04","MUMU","AEME",0,39,90
"E04","HINI","AEME",0,39,90
"E04","TAOR","AEME",0,39,90
"E04","LESE","AEME",0,39,90
"E04","TRST","AEME",1,39,90
"E04","KOEL","AEME",33,39,90
"E04","RERE","AEME",1,39,90
"E04","COTA","AEME",0,39,90
"E04","MATE","AEME",0,39,90
"E04","PACY","AEME",26,39,90
"E04","CHPY","AEME",13,39,90
"E04","CEAL","AEME",0,39,90
"E06","OUOU","AEME",0,0,28
"E06","LESE","AEME",0,0,28
"E06","COTA","AEME",0,0,28
"E06","ALBU","AEME",0,0,28
"E06","BDCR","AEME",0,0,28
"E06","ICAL","AEME",0,0,28
"E06","SYCA","AEME",0,0,28
"E06","TAOR","AEME",0,0,28
"E06","CHPY","AEME",0,0,28
"E06","CICI","AEME",0,0,28
"E06","HEPA","AEME",0,0,28
"E06","HINI","AEME",0,0,28
"E06","SYGR","AEME",0,0,28
"E06","ORAF","AEME",0,0,28
"E06","POLA","AEME",3,0,28
"E06","MATE","AEME",0,0,28
"E06","LOAF","AEME",3,0,28
"E06","MECA","AEME",0,0,28
"E06","CENA","AEME",0,0,28
"E06","GASA","AEME",0,0,28
"E06","MUMU","AEME",0,0,28
"E06","HEIC","AEME",0,0,28
"E06","HIAM","AEME",0,0,28
"E06","PALE","AEME",0,0,28
"E06","CEAL","AEME",0,0,28
"E06","HYAF","AEME",0,0,28
"E06","RERE","AEME",0,0,28
"E06","KOEL","AEME",6,0,28
"E06","PHAF","AEME",16,0,28
"E06","GEGE","AEME",0,0,28
"E06","TRST","AEME",3,0,28
"E06","OTCR","AEME",0,0,28
"E06","ATPA","AEME",0,0,28
"E06","TRAN","AEME",7,0,28
"E06","PACY","AEME",7,0,28
"E06","LEMI","AEME",0,0,28
"E06","TRSY","AEME",8,0,28
"E08","CENA","AEME",0,0,43
"E08","MECA","AEME",0,0,43
"E08","BDCR","AEME",0,0,43
"E08","RERE","AEME",0,0,43
"E08","PACY","AEME",1,0,43
"E08","GASA","AEME",0,0,43
"E08","LOAF","AEME",2,0,43
"E08","LEMI","AEME",0,0,43
"E08","ALBU","AEME",5,0,43
"E08","CEAL","AEME",0,0,43
"E08","OUOU","AEME",0,0,43
"E08","SYCA","AEME",1,0,43
"E08","SYGR","AEME",0,0,43
"E08","HEPA","AEME",0,0,43
"E08","GEGE","AEME",0,0,43
"E08","HINI","AEME",1,0,43
"E08","PHAF","AEME",1,0,43
"E08","HIAM","AEME",0,0,43
"E08","HEIC","AEME",0,0,43
"E08","TRSY","AEME",3,0,43
"E08","MUMU","AEME",0,0,43
"E08","COTA","AEME",0,0,43
"E08","KOEL","AEME",1,0,43
"E08","ORAF","AEME",0,0,43
"E08","HYAF","AEME",0,0,43
"E08","CHPY","AEME",0,0,43
"E08","CICI","AEME",0,0,43
"E08","ICAL","AEME",0,0,43
"E08","MATE","AEME",0,0,43
"E08","LESE","AEME",0,0,43
"E08","TAOR","AEME",0,0,43
"E08","TRST","AEME",0,0,43
"E08","POLA","AEME",0,0,43
"E08","TRAN","AEME",0,0,43
"E08","ATPA","AEME",0,0,43
"E08","OTCR","AEME",0,0,43
"E08","PALE","AEME",0,0,43
"E10","HINI","AEME",0,0,90
"E10","PHAF","AEME",8,0,90
"E10","COTA","AEME",0,0,90
"E10","HIAM","AEME",0,0,90
"E10","BDCR","AEME",0,0,90
"E10","OUOU","AEME",0,0,90
"E10","ALBU","AEME",0,0,90
"E10","TRAN","AEME",0,0,90
