SppCode1,SppCode2,Pansu_included,Pianka_dietary_overlap,Pianka_significant,Bray_Curtis_dissimilarities
SYCA,RERE,Y,0.109,N,0.923
TRAN,AEME,Y,0.282,N,0.912
TRAN,ALBU,Y,0.266,N,0.912
TRAN,COTA,Y,0.228,N,0.932
TRAN,HINI,Y,0.155,N,0.95
TRAN,KOEL,Y,0.198,N,0.958
TRAN,LOAF,Y,0.492,Y,0.892
TRAN,OUOU,Y,0.087,N,0.966
TRAN,PACY,Y,0.208,N,0.955
TRAN,PHAF,Y,0.169,N,0.954
TRAN,RERE,Y,0.08,N,0.97
TRAN,SYCA,Y,0.057,N,0.957
TRST,AEME,Y,0.121,N,0.94
TRST,ALBU,Y,0.005,N,0.994
TRST,COTA,Y,0.001,N,0.995
TRST,HINI,Y,0.001,N,0.997
TRST,KOEL,Y,0.01,N,0.996
TRST,LOAF,Y,0.229,N,0.916
TRST,OUOU,Y,0.011,N,0.993
TRST,PACY,Y,0.026,N,0.984
TRST,PHAF,Y,0.004,N,0.996
TRST,RERE,Y,0,N,0.999
TRST,SYCA,Y,0.004,N,0.99
TRST,TRAN,Y,0.396,Y,0.863
TRSY,AEME,Y,0.819,Y,0.855
TRSY,ALBU,Y,0.03,N,0.991
TRSY,COTA,Y,0.004,N,0.997
TRSY,HINI,Y,0.005,N,0.996
TRSY,KOEL,Y,0.435,Y,0.924
TRSY,LOAF,Y,0.182,N,0.947
TRSY,OUOU,Y,0.525,Y,0.904
TRSY,PACY,Y,0.183,N,0.953
TRSY,PHAF,Y,0.029,N,0.993
TRSY,RERE,Y,0.438,Y,0.924
TRSY,SYCA,Y,0.036,N,0.99
TRSY,TRAN,Y,0.389,Y,0.892
TRSY,TRST,Y,0.129,N,0.937
ATPA,AEME,N,NA,NA,NA
ATPA,ALBU,N,NA,NA,NA
BDCR,AEME,N,NA,NA,NA
BDCR,ALBU,N,NA,NA,NA
BDCR,ATPA,N,NA,NA,NA
CEAL,AEME,N,NA,NA,NA
CEAL,ALBU,N,NA,NA,NA
CEAL,ATPA,N,NA,NA,NA
CEAL,BDCR,N,NA,NA,NA
CENA,AEME,N,NA,NA,NA
CENA,ALBU,N,NA,NA,NA
CENA,ATPA,N,NA,NA,NA
CENA,BDCR,N,NA,NA,NA
CENA,CEAL,N,NA,NA,NA
CHPY,AEME,N,NA,NA,NA
CHPY,ALBU,N,NA,NA,NA
CHPY,ATPA,N,NA,NA,NA
CHPY,BDCR,N,NA,NA,NA
CHPY,CEAL,N,NA,NA,NA
CHPY,CENA,N,NA,NA,NA
CICI,AEME,N,NA,NA,NA
CICI,ALBU,N,NA,NA,NA
CICI,ATPA,N,NA,NA,NA
CICI,BDCR,N,NA,NA,NA
CICI,CEAL,N,NA,NA,NA
CICI,CENA,N,NA,NA,NA
CICI,CHPY,N,NA,NA,NA
COTA,ATPA,N,NA,NA,NA
COTA,BDCR,N,NA,NA,NA
COTA,CEAL,N,NA,NA,NA
COTA,CENA,N,NA,NA,NA
COTA,CHPY,N,NA,NA,NA
COTA,CICI,N,NA,NA,NA
GASA,AEME,N,NA,NA,NA
GASA,ALBU,N,NA,NA,NA
