StudySite,AEME,ALBU,ATPA,BDCR,CEAL,CENA,CHPY,CICI,COTA,GASA,GEGE,Guineafowl_crested,Guineafowl_helmeted,HEIC,HEPA,HIAM,HINI,Hornbill_ground,Human,HYAF,ICAL,KOEL,LEMI,LESE,LOAF,MATE,MECA,MUMU,ORAF,OTCR,OUOU,PACY,PALE,PHAF,POLA,RERE,SYCA,SYGR,TAOR,TRAN,TRST,TRSY
D07,35,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,7,1,0,0,0,61,0,0,14,0,1,0,0,0,16,33,0,94,2,14,0,0,0,20,5,60
D09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,6,0,2,0,0,0,0,0,3
E02,33,1,4,5,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,1,64,2,0,10,0,0,0,0,0,42,22,1,24,3,25,3,0,0,0,0,22
E04,46,0,0,0,0,0,21,8,0,0,3,0,9,0,0,0,0,2,0,2,1,44,0,0,8,0,0,0,0,0,13,33,0,63,6,2,0,0,0,2,1,32
E06,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,18,0,0,10,0,0,0,0,0,3,27,0,33,8,2,0,1,0,15,10,25
E08,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,5
E10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,7
E12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,32,0,9,32,0,0,0,0,0,0,21
F01,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,3,2,0,0,0,0,0,0,0
F03,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,4,0,3,0,0,2,0,0,0,3,5
F05,8,0,1,0,0,0,1,2,0,0,2,0,3,0,0,0,0,0,0,3,0,6,0,0,1,0,0,0,0,0,3,4,0,15,0,0,1,0,0,1,0,1
F07,28,16,0,0,0,0,0,4,1,0,6,0,0,1,0,0,5,8,0,6,1,52,3,0,7,0,1,0,0,0,26,69,0,61,6,8,5,0,0,17,7,27
F09,1,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,2,0,5,0,2,0,0,0,0,0,1
F11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,2,9,0,7,0,2,0,0,0,0,5,4
G02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G04,18,0,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,1,0,37,0,0,2,0,0,0,0,0,9,15,0,37,0,0,0,0,0,1,0,12
G06,18,1,0,0,0,0,0,1,0,2,4,0,3,0,0,0,3,0,0,1,0,41,0,0,1,0,0,0,0,0,2,40,0,56,20,0,1,1,0,18,1,12
G08,1,0,8,0,0,0,0,4,0,0,9,0,1,1,0,0,0,0,0,0,0,18,0,0,2,1,2,1,0,0,1,49,0,17,6,0,1,0,0,0,0,14
G10,4,1,0,1,0,54,10,8,0,0,43,0,0,0,0,0,7,3,0,3,0,16,0,0,13,0,0,0,0,0,1,101,0,21,14,0,0,0,0,24,11,22
G12,3,2,1,1,0,8,0,5,0,0,15,0,4,1,0,0,2,0,0,4,0,17,0,0,4,0,0,0,0,1,2,52,0,10,7,1,1,0,0,7,0,31
