"","SppCode1.x","SppCode2","Direction_dry","SIF_dry","sd_dry","CI_lower_dry","CI_upper_dry","SIF.dry.ln","Direction_wet4","SIF_wet4","sd_wet4","CI_lower_wet4","CI_upper_wet4","SIF.wet4.ln","Direction","SIF_wet3","sd_wet3","CI_lower_wet3","CI_upper_wet3","SIF.wet3.ln","SppCode.x","GenusLatin.x","SpeciesLatin.x","CommName.x","Diet.x","Weight.x","Sociality.x","Family.x","Order.x","Activity_pattern.x","Sociality.1.x","Mass_category.x","Trophic_level.x","SppCode.y","GenusLatin.y","SpeciesLatin.y","CommName.y","Diet.y","Weight.y","Sociality.y","Family.y","Order.y","Activity_pattern.y","Sociality.1.y","Mass_category.y","Trophic_level.y","activity.match","sociality.match","masscategory.match","trophiclevel.match","order.match","family.match","activity.combined","sociality.combined","masscategory.combined","trophiclevel.combined","order.combined","family.combined","higher.season","season.diff"
"24","ORAF","AEME","None",0.997140265,0.136525888,0.714990196,1.256373749,-0.00286383185461169,"None",1.021551722,0.217202858,0.571278671,1.421238785,0.0213227673759943,"None",1.190411729,0.334069997,0.531753606,1.855519112,0.174299238038741,"ORAF","Orycteropus","afer","Aardvark","Carnivore",56175.2,"solitary","Orycteropodidae","Tubulidentata","nocturnal","solitary","Large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","same","same","different","different","diurnal_nocturnal","group_solitary","Large_Large","1_1","Artiodactyla_Tubulidentata","Bovidae_Orycteropodidae","wet","NS"
"25","OTCR","AEME","None",0.976864053,0.163805067,0.636236305,1.279433851,-0.0234077840112198,"None",0.929837242,0.286684898,0.334783273,1.440693849,-0.0727457167527784,"None",0.929012829,0.546793216,0.047821928,1.959406457,-0.0736327307910973,"OTCR","Otolemur","crassicaudatus","Bushbaby","Omnivore",1206.61,"group","Galagidae","Primates","nocturnal","group","Small",-999,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","same","different","different","different","different","diurnal_nocturnal","group_group","Large_Small","-999_1","Artiodactyla_Primates","Bovidae_Galagidae","dry","NS"
"26","OUOU","AEME","Positive",1.115612659,0.060324226,1.016707782,1.252899321,0.109403723963899,"Positive",1.252351051,0.08502123,1.117562984,1.446608353,0.225022625547892,"Positive",1.437358576,0.18305654,1.138849131,1.853722768,0.362807106936507,"OUOU","Ourebia","ourebi","Oribi","Herbivore",17186.09,"pair","Bovidae","Artiodactyla","diurnal","pair","Medium",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","different","different","same","same","same","diurnal_diurnal","group_pair","Large_Medium","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","wet","NS"
"27","PACY","AEME","None",1.004810331,0.010823536,0.99018904,1.03407453,0.00479879832703062,"None",1.017745411,0.020145001,0.991084796,1.069663772,0.0175897994249296,"None",1.058677567,0.067191869,0.939380671,1.209745935,0.0570205509484079,"PACY","Papio","cynocephalus","Baboon","Omnivore",15822.15,"group","Cercopithecidae","Primates","diurnal","group","Medium",-999,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","different","different","different","different","diurnal_diurnal","group_group","Large_Medium","-999_1","Artiodactyla_Primates","Bovidae_Cercopithecidae","wet","NS"
"28","PALE","AEME","None",1.011158763,0.226695945,0.521775812,1.402398462,0.0110969633178426,"None",1.241081196,0.220160537,0.799478514,1.657461303,0.215982931962901,"None",1.32611407,0.387127829,0.574940078,2.0906222,0.282252913704703,"PALE","Panthera","leo","Lion","Carnivore",158623.93,"group","Felidae","Carnivora","nocturnal","group","Very_large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","same","different","same","different","different","diurnal_nocturnal","group_group","Large_Very_large","1_1","Artiodactyla_Carnivora","Bovidae_Felidae","wet","NS"
"29","PHAF","AEME","None",1.017347083,0.018873981,0.994010256,1.066700817,0.0171983400625066,"None",1.013057949,0.022402704,0.976714948,1.06757641,0.0129734289610847,"None",1.063864665,0.050215137,0.986494732,1.182946332,0.0619081882806679,"PHAF","Phacochoerus","africanus","Warthog","Herbivore",82499.99,"group","Suidae","Artiodactyla","diurnal","group","Large",-999,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","same","different","same","different","diurnal_diurnal","group_group","Large_Large","-999_1","Artiodactyla_Artiodactyla","Bovidae_Suidae","dry","NS"
"30","POLA","AEME","None",1.040441278,0.046078574,0.960843279,1.143629559,0.0396449289302745,"None",1.059437923,0.069440026,0.932524623,1.209697898,0.057738506164968,"None",1.083043285,0.093237572,0.917830579,1.290630552,0.0797749349025308,"POLA","Potamochoerus","larvatus","Bushpig","Omnivore",69063.79,"group","Suidae","Artiodactyla","nocturnal","group","Large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","same","same","same","same","different","diurnal_nocturnal","group_group","Large_Large","1_1","Artiodactyla_Artiodactyla","Bovidae_Suidae","wet","NS"
"31","RERE","AEME","None",1.027086642,0.090542793,0.849614015,1.20920968,0.026726291555443,"None",1.087159848,0.083622611,0.932612409,1.265239025,0.0835686516054809,"None",1.012351888,0.163241653,0.698033068,1.344564012,0.0122762258412986,"RERE","Redunca","redunca","Reedbuck","Herbivore",43288.95,"group","Bovidae","Artiodactyla","crepuscular","group","Large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","same","same","same","same","same","crepuscular_diurnal","group_group","Large_Large","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","wet","NS"
"32","SYCA","AEME","None",1.092551828,0.15634634,0.764510875,1.383603966,0.0885160866793092,"None",0.964781302,0.119353054,0.724954477,1.198751342,-0.0358538333794354,"None",1.072001784,0.170718257,0.749220623,1.440243705,0.06952772682633,"SYCA","Syncerus","caffer","Buffalo","Herbivore",592665.98,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","same","different","same","same","same","crepuscular_diurnal","group_group","Large_Very_large","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","dry","NS"
"33","SYGR","AEME","None",1.140054488,0.140763514,0.850703332,1.413088732,0.131076057755416,"None",1.203921022,0.239910641,0.698989072,1.646179468,0.18558374838958,"None",1.198391438,0.432774376,0.331423901,2.029831752,0.180980189229261,"SYGR","Sylvicapra","grimmia","Duiker_common","Herbivore",15639.15,"solitary","Bovidae","Artiodactyla","crepuscular","solitary","Medium",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","same","same","crepuscular_diurnal","group_solitary","Large_Medium","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","wet","NS"
